ID	logFC	AveExpr	t	P.Value	adj.P.Val	B
Q08873	0.173206027030822	27.1234976787701	1.4922022113238	0.173771032265016	0.272308719185	-6.37966661011291
P50086	0.172576396225036	29.542291363478	1.58543457048213	0.151305524117972	0.24417688598647	-6.25556210993145
P38041	0.170496561179306	27.5747212439102	1.9281378394261	0.0897637367231893	0.165677002880139	-5.7692407823406
P00950	0.169642025171513	36.99832291142	2.21741815358534	0.0572196437410547	0.116824992498023	-5.33224823866721
P32525	0.169600692677442	26.13266208251	1.19986106838076	0.264322690429023	0.375515553855194	-6.73879924162782
P22211	0.169530065886569	28.3416582339236	2.41601778704951	0.0419370536566332	0.0915893562089815	-5.02365006508074
P35734	0.168586942987645	26.2451500482096	1.33620460279051	0.218030340240523	0.322771415358432	-6.57746209833936
Q12451	0.168558999023332	28.9020378671396	2.00272463976298	0.0799665628957905	0.150610101030894	-5.65840290569457
P32608	0.168505192441764	30.0310293742019	2.78073880252065	0.0237610262321024	0.0596691155540135	-4.44809957015928
Q02932	0.167911670358684	27.6278483351508	1.04416926775213	0.326755413341421	0.442043389167113	-6.90792552406615
P38840	0.167409088065618	28.3215546322308	0.859334725879092	0.415018973691536	0.527654954786723	-7.0849298299267
Q00618	0.167343662786696	27.3140242263488	0.646676567782655	0.535845440145034	0.637562494082967	-7.25234930220312
P35189	0.167326601980005	30.8593203781127	1.40002702741491	0.1988571971665	0.301217233407352	-6.49813108053648
Q06058	0.167296779790298	23.9492871535755	1.18289724101714	0.270615967122227	0.381001995040908	-6.75804340049996
P47095	0.167296133124232	28.0537767573343	2.35819832051787	0.0459079506909726	0.0984100666658743	-5.11401107220542
P17883	0.166668604680925	29.5924359948587	2.93051938743457	0.0188614912686509	0.0503508634037069	-4.2107763757631
P41734	0.166448694416932	26.8504421295498	0.761352542124036	0.468167930420714	0.578563996032539	-7.16716253680463
P53073	0.165968899476962	29.0305413950278	2.71549655431159	0.0262893707457846	0.0643176330345737	-4.55145759621453
P38930	0.165681313159531	27.9223866224573	1.37085255272396	0.207432321802165	0.311198131415981	-6.53467983423834
